"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-27.8381996821521
1.57542,0,-170,-30.3228659472813
1.57542,0,-160,-37.0316887699404
1.57542,0,-150,-32.1386185195698
1.57542,0,-140,-27.9767556728477
1.57542,0,-130,-23.6570902332258
1.57542,0,-120,-20.4840160367342
1.57542,0,-110,-18.3916942871862
1.57542,0,-100,-16.8502590676187
1.57542,0,-90,-15.6041594842886
1.57542,0,-80,-14.7265982624074
1.57542,0,-70,-14.5926347342854
1.57542,0,-60,-16.0775830226273
1.57542,0,-50,-21.8754162497692
1.57542,0,-40,-19.30291231759
1.57542,0,-30,-9.89042061680296
1.57542,0,-20,-4.98913582384231
1.57542,0,-10,-2.37098445354924
1.57542,0,0,-1.51638392336461
1.57542,0,10,-2.32841974199021
1.57542,0,20,-4.93958851732708
1.57542,0,30,-9.94587046032661
1.57542,0,40,-19.3484595144136
1.57542,0,50,-19.283641294075
1.57542,0,60,-14.8107976092131
1.57542,0,70,-13.7157077073267
1.57542,0,80,-14.0425428316871
1.57542,0,90,-15.0387237570015
1.57542,0,100,-16.3911954667651
1.57542,0,110,-18.0956098722496
1.57542,0,120,-20.4730491034229
1.57542,0,130,-23.8820108783603
1.57542,0,140,-26.3519581964558
1.57542,0,150,-25.9918165247337
1.57542,0,160,-27.7352482971618
1.57542,0,170,-29.7682427947218
1.57542,0,180,-27.8381996821521
