"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-30.1073708194855
1.57542,0,-170,-30.0315590294224
1.57542,0,-160,-26.7044486924659
1.57542,0,-150,-23.4816425346896
1.57542,0,-140,-22.1528092652158
1.57542,0,-130,-21.3398338663816
1.57542,0,-120,-20.3335684572987
1.57542,0,-110,-19.1909807342819
1.57542,0,-100,-17.9397324048062
1.57542,0,-90,-16.5094177832423
1.57542,0,-80,-14.7927560242692
1.57542,0,-70,-12.5979732179947
1.57542,0,-60,-9.75084130589258
1.57542,0,-50,-6.40178462187581
1.57542,0,-40,-3.03384232391467
1.57542,0,-30,-0.112401171494294
1.57542,0,-20,2.08692120742342
1.57542,0,-10,3.43143176609897
1.57542,0,0,3.85622604541695
1.57542,0,10,3.33149862755669
1.57542,0,20,1.85843520721362
1.57542,0,30,-0.523390416176909
1.57542,0,40,-3.69358781582284
1.57542,0,50,-7.34591706835055
1.57542,0,60,-10.9011768743284
1.57542,0,70,-13.7701720922107
1.57542,0,80,-15.8962342939449
1.57542,0,90,-17.6132971152332
1.57542,0,100,-19.1657569589464
1.57542,0,110,-20.6263485812761
1.57542,0,120,-21.8911991925766
1.57542,0,130,-22.5137962923955
1.57542,0,140,-22.3414614433155
1.57542,0,150,-22.7517558532644
1.57542,0,160,-25.5632498262507
1.57542,0,170,-30.2861515503782
1.57542,0,180,-30.1073708194855
