"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-25.7372308515408
1.57542,0,-170,-25.9038217211258
1.57542,0,-160,-24.0662604833335
1.57542,0,-150,-23.617697367542
1.57542,0,-140,-25.2681880883314
1.57542,0,-130,-23.9680336466764
1.57542,0,-120,-20.6883865667408
1.57542,0,-110,-18.3329116885901
1.57542,0,-100,-16.6347436691926
1.57542,0,-90,-15.2680031565031
1.57542,0,-80,-14.2593059135044
1.57542,0,-70,-13.9436021907992
1.57542,0,-60,-15.0894693190108
1.57542,0,-50,-19.6547661877545
1.57542,0,-40,-19.0041848589024
1.57542,0,-30,-9.82896088237114
1.57542,0,-20,-4.87037012306063
1.57542,0,-10,-2.26539866901264
1.57542,0,0,-1.46696665130989
1.57542,0,10,-2.36600023368834
1.57542,0,20,-5.0925405080451
1.57542,0,30,-10.2858832076951
1.57542,0,40,-21.2520701924367
1.57542,0,50,-21.2106220972133
1.57542,0,60,-15.4447457468496
1.57542,0,70,-14.0662022246467
1.57542,0,80,-14.2291831180369
1.57542,0,90,-15.0950268836742
1.57542,0,100,-16.3115836255768
1.57542,0,110,-17.8301981110823
1.57542,0,120,-19.9392466270846
1.57542,0,130,-23.1913277330346
1.57542,0,140,-27.2899493056627
1.57542,0,150,-29.1217424031523
1.57542,0,160,-29.2463318034204
1.57542,0,170,-27.0152884599722
1.57542,0,180,-25.7372308515408
