"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-25.7405965492528
1.57542,0,-170,-27.944478566938
1.57542,0,-160,-34.1654442411849
1.57542,0,-150,-33.492212212872
1.57542,0,-140,-28.8715917635765
1.57542,0,-130,-23.5619076279649
1.57542,0,-120,-20.0569813866684
1.57542,0,-110,-17.8862672516286
1.57542,0,-100,-16.3497084610525
1.57542,0,-90,-15.114278042254
1.57542,0,-80,-14.1986188454982
1.57542,0,-70,-13.9247649631735
1.57542,0,-60,-15.0574512782038
1.57542,0,-50,-19.861254220101
1.57542,0,-40,-21.657306649075
1.57542,0,-30,-10.6972795901883
1.57542,0,-20,-5.37569554911925
1.57542,0,-10,-2.60033605734263
1.57542,0,0,-1.68191563851378
1.57542,0,10,-2.47951225507943
1.57542,0,20,-5.13770242787893
1.57542,0,30,-10.3726309163224
1.57542,0,40,-21.6418416429428
1.57542,0,50,-19.8110633850012
1.57542,0,60,-14.8019124327298
1.57542,0,70,-13.6917859359138
1.57542,0,80,-14.0447035024238
1.57542,0,90,-15.0873592674124
1.57542,0,100,-16.5113633536376
1.57542,0,110,-18.3046893696396
1.57542,0,120,-20.7229501445825
1.57542,0,130,-23.7544224858441
1.57542,0,140,-24.9713255670795
1.57542,0,150,-24.3779030385548
1.57542,0,160,-25.9239887169832
1.57542,0,170,-27.1662390279196
1.57542,0,180,-25.7405965492528
