"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-33.6692528866743
1.57542,0,-170,-33.9068282086179
1.57542,0,-160,-32.6541649195661
1.57542,0,-150,-28.6409143513309
1.57542,0,-140,-25.2582752255468
1.57542,0,-130,-22.3813565895203
1.57542,0,-120,-20.0583113100529
1.57542,0,-110,-18.1894930450295
1.57542,0,-100,-16.5534857264412
1.57542,0,-90,-14.9764372533893
1.57542,0,-80,-13.342523251952
1.57542,0,-70,-11.5304303479794
1.57542,0,-60,-9.36182866598291
1.57542,0,-50,-6.71424481005286
1.57542,0,-40,-3.77492039294612
1.57542,0,-30,-0.992411310643973
1.57542,0,-20,1.22856463977597
1.57542,0,-10,2.64867813906368
1.57542,0,0,3.15430365376156
1.57542,0,10,2.71349070502204
1.57542,0,20,1.3624719031119
1.57542,0,30,-0.784312427554589
1.57542,0,40,-3.49645299965665
1.57542,0,50,-6.39400129010637
1.57542,0,60,-9.05374341873295
1.57542,0,70,-11.2757421095783
1.57542,0,80,-13.138446670917
1.57542,0,90,-14.7801713767591
1.57542,0,100,-16.2880603392436
1.57542,0,110,-17.7431722026856
1.57542,0,120,-19.2892220845172
1.57542,0,130,-21.1461958641643
1.57542,0,140,-23.5358718636648
1.57542,0,150,-26.7964537701642
1.57542,0,160,-32.1761356091122
1.57542,0,170,-37.2202989776632
1.57542,0,180,-33.6692528866743
