"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-35.7780860522488
1.57542,0,-170,-25.8663691911782
1.57542,0,-160,-25.1594954873206
1.57542,0,-150,-24.7710689238388
1.57542,0,-140,-20.1036584057759
1.57542,0,-130,-17.5597829276212
1.57542,0,-120,-16.5028108603533
1.57542,0,-110,-15.7369609269971
1.57542,0,-100,-14.5920352255562
1.57542,0,-90,-12.8849581953356
1.57542,0,-80,-10.7050104086224
1.57542,0,-70,-8.28984709953449
1.57542,0,-60,-5.96232018161285
1.57542,0,-50,-4.07182680631033
1.57542,0,-40,-2.96095851444746
1.57542,0,-30,-2.99123695143153
1.57542,0,-20,-4.71695866990515
1.57542,0,-10,-9.71269026595922
1.57542,0,0,-33.3572273053076
1.57542,0,10,-9.30021470238702
1.57542,0,20,-4.53203019950606
1.57542,0,30,-2.87024467596675
1.57542,0,40,-2.84498853573557
1.57542,0,50,-3.92888052776805
1.57542,0,60,-5.78074823358953
1.57542,0,70,-8.07728053426858
1.57542,0,80,-10.4821089588199
1.57542,0,90,-12.6752521923376
1.57542,0,100,-14.4152618918131
1.57542,0,110,-15.6099517025916
1.57542,0,120,-16.4355829744566
1.57542,0,130,-17.5208742756705
1.57542,0,140,-19.8950886944407
1.57542,0,150,-23.6319577520453
1.57542,0,160,-24.3966716123278
1.57542,0,170,-26.4470474356614
1.57542,0,180,-35.7780860522488
