"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-27.0593135344875
1.57542,0,-170,-21.9800552211528
1.57542,0,-160,-22.8359323589054
1.57542,0,-150,-20.5040934524466
1.57542,0,-140,-16.4489264781693
1.57542,0,-130,-14.4631702739694
1.57542,0,-120,-13.4815465852457
1.57542,0,-110,-12.5882522356185
1.57542,0,-100,-11.404576523242
1.57542,0,-90,-9.84650787048344
1.57542,0,-80,-7.93974946543045
1.57542,0,-70,-5.80333336208103
1.57542,0,-60,-3.65852121558973
1.57542,0,-50,-1.79660639266539
1.57542,0,-40,-0.508696455455472
1.57542,0,-30,-0.00729651205199964
1.57542,0,-20,-0.336961935430397
1.57542,0,-10,-1.16059193516172
1.57542,0,0,-1.48850233513514
1.57542,0,10,-0.762148146334197
1.57542,0,20,0.071183973664685
1.57542,0,30,0.220578468709524
1.57542,0,40,-0.461571887963455
1.57542,0,50,-1.87860020121753
1.57542,0,60,-3.84532764853284
1.57542,0,70,-6.11505581016169
1.57542,0,80,-8.41143814599627
1.57542,0,90,-10.4850835980908
1.57542,0,100,-12.1710950564076
1.57542,0,110,-13.4331371225928
1.57542,0,120,-14.4441541071743
1.57542,0,130,-15.6686949977545
1.57542,0,140,-17.5770007896555
1.57542,0,150,-19.6750495296257
1.57542,0,160,-21.6624382731864
1.57542,0,170,-27.8042305715225
1.57542,0,180,-27.0593135344875
