"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-35.9103086776865
1.57542,0,-170,-27.2013350364244
1.57542,0,-160,-24.4621602333824
1.57542,0,-150,-23.551916523374
1.57542,0,-140,-20.1666291313502
1.57542,0,-130,-17.8426644097618
1.57542,0,-120,-16.6862814218112
1.57542,0,-110,-15.758674019744
1.57542,0,-100,-14.4924725696856
1.57542,0,-90,-12.734579404543
1.57542,0,-80,-10.5604651659041
1.57542,0,-70,-8.18887795400268
1.57542,0,-60,-5.93283484006252
1.57542,0,-50,-4.13706188866732
1.57542,0,-40,-3.13380447799412
1.57542,0,-30,-3.26059377776641
1.57542,0,-20,-5.04224464695672
1.57542,0,-10,-10.0451057751746
1.57542,0,0,-28.6285541917776
1.57542,0,10,-9.3770944851543
1.57542,0,20,-4.63667294995025
1.57542,0,30,-2.96203547170227
1.57542,0,40,-2.90825963547792
1.57542,0,50,-3.95318598258082
1.57542,0,60,-5.75768297824203
1.57542,0,70,-7.99286900211793
1.57542,0,80,-10.3183386117667
1.57542,0,90,-12.4279012825806
1.57542,0,100,-14.113303696536
1.57542,0,110,-15.3048638112801
1.57542,0,120,-16.1431646423575
1.57542,0,130,-17.1789358169183
1.57542,0,140,-19.4329172893435
1.57542,0,150,-23.3401461614489
1.57542,0,160,-24.3856850973246
1.57542,0,170,-25.437332660747
1.57542,0,180,-35.9103086776864
