"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-26.3605800293461
1.57542,0,-170,-22.1397933473356
1.57542,0,-160,-22.86373401959
1.57542,0,-150,-20.6544604199434
1.57542,0,-140,-16.7686409764757
1.57542,0,-130,-14.8772221814305
1.57542,0,-120,-13.9605207250639
1.57542,0,-110,-13.0902938413306
1.57542,0,-100,-11.9083083090831
1.57542,0,-90,-10.3625169985718
1.57542,0,-80,-8.48432611006551
1.57542,0,-70,-6.37919229939004
1.57542,0,-60,-4.24993273858258
1.57542,0,-50,-2.37065764857942
1.57542,0,-40,-1.01894175780005
1.57542,0,-30,-0.397854781564791
1.57542,0,-20,-0.559643339752956
1.57542,0,-10,-1.23935709009196
1.57542,0,0,-1.56091898461689
1.57542,0,10,-0.841318055729665
1.57542,0,20,0.102329808624304
1.57542,0,30,0.400556310966496
1.57542,0,40,-0.146160660851738
1.57542,0,50,-1.44894646323665
1.57542,0,60,-3.32272433036645
1.57542,0,70,-5.52420746824919
1.57542,0,80,-7.77952210733896
1.57542,0,90,-9.83477423031953
1.57542,0,100,-11.5125124547242
1.57542,0,110,-12.7637528987196
1.57542,0,120,-13.7565984974088
1.57542,0,130,-14.9438682299345
1.57542,0,140,-16.7621581164714
1.57542,0,150,-18.733724699817
1.57542,0,160,-20.5039255070953
1.57542,0,170,-25.1259582454531
1.57542,0,180,-26.3605800293461
