"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-27.5201819689258
1.57542,0,-170,-22.6342037427583
1.57542,0,-160,-23.1943991566317
1.57542,0,-150,-20.4543871390805
1.57542,0,-140,-16.5479243458978
1.57542,0,-130,-14.588149255994
1.57542,0,-120,-13.5206448229641
1.57542,0,-110,-12.5197034788433
1.57542,0,-100,-11.2777411228046
1.57542,0,-90,-9.70960232350795
1.57542,0,-80,-7.81385502221878
1.57542,0,-70,-5.69777429078309
1.57542,0,-60,-3.58134958487835
1.57542,0,-50,-1.74962192513817
1.57542,0,-40,-0.483073476570356
1.57542,0,-30,0.0148403445090871
1.57542,0,-20,-0.299455503723733
1.57542,0,-10,-1.11441588660396
1.57542,0,0,-1.47029892959584
1.57542,0,10,-0.756867472806923
1.57542,0,20,0.0899468546979623
1.57542,0,30,0.247987642397851
1.57542,0,40,-0.426950939444469
1.57542,0,50,-1.8265233967502
1.57542,0,60,-3.76381496623546
1.57542,0,70,-5.99561747694603
1.57542,0,80,-8.24630507430019
1.57542,0,90,-10.2634867283132
1.57542,0,100,-11.8803726218792
1.57542,0,110,-13.0661186111154
1.57542,0,120,-14.00943582304
1.57542,0,130,-15.2025597389173
1.57542,0,140,-17.191018022333
1.57542,0,150,-19.6113803685685
1.57542,0,160,-21.8091364287618
1.57542,0,170,-27.4284103930729
1.57542,0,180,-27.5201819689258
