"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-26.3441830350912
1.57542,0,-170,-26.6974669696618
1.57542,0,-160,-24.9578082693466
1.57542,0,-150,-24.4433992153975
1.57542,0,-140,-26.001138060734
1.57542,0,-130,-23.9953866754838
1.57542,0,-120,-20.3937097018754
1.57542,0,-110,-17.9291922826388
1.57542,0,-100,-16.183452774953
1.57542,0,-90,-14.791183309712
1.57542,0,-80,-13.7327273285237
1.57542,0,-70,-13.2851189053663
1.57542,0,-60,-14.1106792575548
1.57542,0,-50,-17.8542548863598
1.57542,0,-40,-20.4164640962533
1.57542,0,-30,-10.6276957256877
1.57542,0,-20,-5.27290076799817
1.57542,0,-10,-2.51501042216712
1.57542,0,0,-1.67199076971255
1.57542,0,10,-2.59805227339788
1.57542,0,20,-5.42142817302512
1.57542,0,30,-10.8103760924033
1.57542,0,40,-21.7841032050168
1.57542,0,50,-19.7563145443449
1.57542,0,60,-15.0195804250501
1.57542,0,70,-13.8524208628539
1.57542,0,80,-14.0646387587398
1.57542,0,90,-14.9040877103741
1.57542,0,100,-16.0471455568929
1.57542,0,110,-17.4639113008765
1.57542,0,120,-19.4579016737178
1.57542,0,130,-22.6452639600867
1.57542,0,140,-27.3819114331504
1.57542,0,150,-32.0481416950169
1.57542,0,160,-34.3739246340199
1.57542,0,170,-28.6754954657419
1.57542,0,180,-26.3441830350912
