"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-26.2379569145292
1.57542,0,-170,-26.6888942968599
1.57542,0,-160,-25.1439116722422
1.57542,0,-150,-24.2899959330125
1.57542,0,-140,-24.7634264230474
1.57542,0,-130,-22.5975763107012
1.57542,0,-120,-19.4985327909693
1.57542,0,-110,-17.2378276326902
1.57542,0,-100,-15.5458342270818
1.57542,0,-90,-14.1445217533697
1.57542,0,-80,-13.0413394126237
1.57542,0,-70,-12.5079749638208
1.57542,0,-60,-13.1599444359433
1.57542,0,-50,-16.5399298471858
1.57542,0,-40,-22.7985108246715
1.57542,0,-30,-11.6193621929814
1.57542,0,-20,-5.7076332826171
1.57542,0,-10,-2.73990047787373
1.57542,0,0,-1.80085781080991
1.57542,0,10,-2.69115439132044
1.57542,0,20,-5.53270856725098
1.57542,0,30,-11.0261799042679
1.57542,0,40,-21.3133856117809
1.57542,0,50,-18.0105927027397
1.57542,0,60,-14.1849833444969
1.57542,0,70,-13.3044352348128
1.57542,0,80,-13.669169832597
1.57542,0,90,-14.6052895063319
1.57542,0,100,-15.8185821126405
1.57542,0,110,-17.3011972959401
1.57542,0,120,-19.3773568476572
1.57542,0,130,-22.6994372728783
1.57542,0,140,-27.7885663868773
1.57542,0,150,-33.3308323874837
1.57542,0,160,-35.5760867381092
1.57542,0,170,-28.6821951141821
1.57542,0,180,-26.2379569145292
