"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-28.7261335294663
1.57542,0,-170,-23.9942634884603
1.57542,0,-160,-22.8973818881769
1.57542,0,-150,-19.2990061740176
1.57542,0,-140,-15.5795166151249
1.57542,0,-130,-13.7203257743447
1.57542,0,-120,-12.7941603973519
1.57542,0,-110,-11.9438692403557
1.57542,0,-100,-10.7652574703997
1.57542,0,-90,-9.17519878079784
1.57542,0,-80,-7.23390982788265
1.57542,0,-70,-5.09121090807489
1.57542,0,-60,-2.97098514960423
1.57542,0,-50,-1.14429382218446
1.57542,0,-40,0.1141638965274
1.57542,0,-30,0.59051898721103
1.57542,0,-20,0.231339556413548
1.57542,0,-10,-0.64172302759609
1.57542,0,0,-1.1128777955068
1.57542,0,10,-0.653912576445445
1.57542,0,20,-0.0746839984461306
1.57542,0,30,-0.101043962001217
1.57542,0,40,-0.893521110949183
1.57542,0,50,-2.38230234751318
1.57542,0,60,-4.39893002334289
1.57542,0,70,-6.69956521755582
1.57542,0,80,-9.00650034998252
1.57542,0,90,-11.0756486868501
1.57542,0,100,-12.7551471400607
1.57542,0,110,-14.0163744703342
1.57542,0,120,-15.0287161750661
1.57542,0,130,-16.2856469707229
1.57542,0,140,-18.3332411185714
1.57542,0,150,-20.2763614149113
1.57542,0,160,-20.9039587884531
1.57542,0,170,-24.0248836770012
1.57542,0,180,-28.7261335294663
