"Freq [GHz]","dB(S(1,1)) []"
1.4,-0.370959825140902
1.4003,-0.368936768498122
1.4006,-0.366932043908659
1.4009,-0.364945434423598
1.4012,-0.362976726259167
1.4015,-0.361025708742228
1.4018,-0.359092174256859
1.4021,-0.357175918191969
1.4024,-0.355276738889969
1.4027,-0.353394437596433
1.403,-0.351528818410723
1.4033,-0.349679688237635
1.4036,-0.347846856739904
1.4039,-0.346030136291713
1.4042,-0.344229341933048
1.4045,-0.342444291324934
1.4048,-0.340674804705583
1.4051,-0.338920704847325
1.4054,-0.337181817014399
1.4057,-0.335457968921536
1.406,-0.333748990693361
1.4063,-0.332054714824508
1.4066,-0.330374976140563
1.4069,-0.328709611759699
1.4072,-0.327058461055051
1.4075,-0.325421365617803
1.4078,-0.323798169220962
1.4081,-0.322188717783813
1.4084,-0.320592859337052
1.4087,-0.319010443988555
1.409,-0.317441323889777
1.4093,-0.31588535320281
1.4096,-0.314342388068007
1.4099,-0.312812286572251
1.4102,-0.311294908717758
1.4105,-0.30979011639151
1.4108,-0.3082977733352
1.4111,-0.306817745115759
1.4114,-0.305349899096415
1.4117,-0.303894104408266
1.412,-0.302450231922392
1.4123,-0.301018154222456
1.4126,-0.299597745577812
1.4129,-0.298188881917078
1.4132,-0.296791440802234
1.4135,-0.295405301403116
1.4138,-0.29403034447244
1.4141,-0.292666452321211
1.4144,-0.291313508794611
1.4147,-0.289971399248301
1.415,-0.288640010525153
1.4153,-0.287319230932383
1.4156,-0.286008950219097
1.4159,-0.284709059554226
1.4162,-0.283419451504867
1.4165,-0.282140020014979
1.4168,-0.28087066038448
1.4171,-0.279611269248685
1.4174,-0.278361744558116
1.4177,-0.277121985558663
1.418,-0.275891892772096
1.4183,-0.27467136797689
1.4186,-0.273460314189418
1.4189,-0.272258635645431
1.4192,-0.271066237781894
1.4195,-0.269883027219099
1.4198,-0.268708911743119
1.4201,-0.267543800288526
1.4204,-0.266387602921431
1.4207,-0.265240230822813
1.421,-0.264101596272099
1.4213,-0.262971612631079
1.4216,-0.261850194328028
1.4219,-0.26073725684215
1.4222,-0.259632716688245
1.4225,-0.258536491401674
1.4228,-0.25744849952353
1.4231,-0.256368660586093
1.4234,-0.255296895098505
1.4237,-0.254233124532709
1.424,-0.253177271309587
1.4243,-0.252129258785367
1.4246,-0.251089011238217
1.4249,-0.250056453855093
1.4252,-0.249031512718777
1.4255,-0.248014114795155
1.4258,-0.247004187920668
1.4261,-0.246001660790014
1.4264,-0.245006462944007
1.4267,-0.244018524757665
1.427,-0.243037777428476
1.4273,-0.242064152964854
1.4276,-0.241097584174793
1.4279,-0.240138004654698
1.4282,-0.239185348778392
1.4285,-0.238239551686308
1.4288,-0.237300549274844
1.4291,-0.2363682781859
1.4294,-0.23544267579658
1.4297,-0.234523680209053
1.43,-0.233611230240572
1.4303,-0.232705265413664
1.4306,-0.231805725946475
1.4309,-0.230912552743245
1.4312,-0.230025687384971
1.4315,-0.229145072120178
1.4318,-0.228270649855868
1.4321,-0.227402364148582
1.4324,-0.226540159195635
1.4327,-0.225683979826455
1.433,-0.224833771494071
1.4333,-0.22398948026675
1.4336,-0.223151052819729
1.4339,-0.222318436427097
1.4342,-0.221491578953821
1.4345,-0.220670428847836
1.4348,-0.219854935132335
1.4351,-0.219045047398099
1.4354,-0.218240715796016
1.4357,-0.217441891029659
1.436,-0.216648524347999
1.4363,-0.21586056753825
1.4366,-0.215077972918776
1.4369,-0.214300693332152
1.4372,-0.213528682138299
1.4375,-0.212761893207741
1.4378,-0.212000280914949
1.4381,-0.211243800131799
1.4384,-0.210492406221119
1.4387,-0.209746055030333
1.439,-0.20900470288522
1.4393,-0.208268306583721
1.4396,-0.207536823389885
1.4399,-0.20681021102789
1.4402,-0.206088427676137
1.4405,-0.205371431961453
1.4408,-0.204659182953363
1.4411,-0.203951640158464
1.4414,-0.203248763514863
1.4417,-0.20255051338671
1.442,-0.201856850558806
1.4423,-0.201167736231295
1.4426,-0.200483132014422
1.4429,-0.199802999923381
1.4432,-0.199127302373232
1.4435,-0.198456002173886
