"Freq [GHz]","dB(S(1,1)) []"
1.4,-0.124209162754537
1.4003,-0.123913588915509
1.4006,-0.123619751266202
1.4009,-0.123327637394434
1.4012,-0.123037234999744
1.4015,-0.122748531892228
1.4018,-0.122461515991369
1.4021,-0.122176175324888
1.4024,-0.121892498027615
1.4027,-0.121610472340366
1.403,-0.121330086608833
1.4033,-0.121051329282489
1.4036,-0.120774188913524
1.4039,-0.120498654155746
1.4042,-0.120224713763563
1.4045,-0.119952356590906
1.4048,-0.119681571590225
1.4051,-0.119412347811457
1.4054,-0.119144674401033
1.4057,-0.118878540600866
1.406,-0.118613935747389
1.4063,-0.118350849270572
1.4066,-0.118089270692966
1.4069,-0.117829189628769
1.4072,-0.117570595782862
1.4075,-0.117313478949915
1.4078,-0.117057829013444
1.4081,-0.116803635944938
1.4084,-0.11655088980294
1.4087,-0.116299580732174
1.409,-0.116049698962678
1.4093,-0.115801234808941
1.4096,-0.115554178669041
1.4099,-0.115308521023816
1.4102,-0.115064252436019
1.4105,-0.114821363549513
1.4108,-0.114579845088437
1.4111,-0.114339687856423
1.4114,-0.114100882735789
1.4117,-0.11386342068675
1.412,-0.113627292746656
1.4123,-0.11339249002922
1.4126,-0.113159003723753
1.4129,-0.112926825094417
1.4132,-0.112695945479492
1.4135,-0.112466356290632
1.4138,-0.112238049012144
1.4141,-0.112011015200287
1.4144,-0.111785246482537
1.4147,-0.111560734556908
1.415,-0.111337471191252
1.4153,-0.111115448222578
1.4156,-0.110894657556374
1.4159,-0.110675091165936
1.4162,-0.110456741091717
1.4165,-0.110239599440659
1.4168,-0.110023658385558
1.4171,-0.109808910164417
1.4174,-0.10959534707982
1.4177,-0.109382961498307
1.418,-0.10917174584975
1.4183,-0.108961692626756
1.4186,-0.108752794384041
1.4189,-0.108545043737849
1.4192,-0.108338433365366
1.4195,-0.108132956004113
1.4198,-0.10792860445139
1.4201,-0.107725371563701
1.4204,-0.107523250256179
1.4207,-0.107322233502036
1.421,-0.107122314332001
1.4213,-0.106923485833791
1.4216,-0.106725741151555
1.4219,-0.10652907348534
1.4222,-0.106333476090574
1.4225,-0.106138942277529
1.4228,-0.105945465410816
1.4231,-0.105753038908856
1.4234,-0.105561656243405
1.4237,-0.105371310939014
1.424,-0.105181996572568
1.4243,-0.104993706772777
1.4246,-0.104806435219695
1.4249,-0.104620175644245
1.4252,-0.104434921827746
1.4255,-0.104250667601435
1.4258,-0.10406740684601
1.4261,-0.103885133491176
1.4264,-0.103703841515177
1.4267,-0.103523524944362
1.427,-0.103344177852734
1.4273,-0.103165794361501
1.4276,-0.102988368638666
1.4279,-0.102811894898565
1.4282,-0.102636367401475
1.4285,-0.102461780453163
1.4288,-0.102288128404488
1.4291,-0.102115405650982
1.4294,-0.101943606632447
1.4297,-0.101772725832543
1.43,-0.101602757778399
1.4303,-0.101433697040205
1.4306,-0.101265538230838
1.4309,-0.101098276005467
1.4312,-0.100931905061158
1.4315,-0.10076642013652
1.4318,-0.100601816011308
1.4321,-0.100438087506071
1.4324,-0.100275229481769
1.4327,-0.100113236839416
1.433,-0.099952104519726
1.4333,-0.0997918275027525
1.4336,-0.0996324008075329
1.4339,-0.0994738194917502
1.4342,-0.0993160786513815
1.4345,-0.0991591734203532
1.4348,-0.0990030989702152
1.4351,-0.0988478505097973
1.4354,-0.0986934232848854
1.4357,-0.0985398125778827
1.436,-0.0983870137074983
1.4363,-0.0982350220284289
1.4366,-0.0980838329310282
1.4369,-0.0979334418409966
1.4372,-0.0977838442190787
1.4375,-0.097635035560756
1.4378,-0.0974870113959282
1.4381,-0.0973397672886212
1.4384,-0.0971932988366997
1.4387,-0.0970476016715496
1.439,-0.0969026714577985
1.4393,-0.0967585038930357
1.4396,-0.0966150947075006
1.4399,-0.0964724396638268
1.4402,-0.0963305345567403
1.4405,-0.0961893752127954
1.4408,-0.0960489574900913
1.4411,-0.0959092772780062
1.4414,-0.0957703304969244
1.4417,-0.0956321130979668
1.442,-0.0954946210627368
1.4423,-0.0953578504030473
1.4426,-0.0952217971606682
1.4429,-0.0950864574070683
1.4432,-0.0949518272431642
1.4435,-0.0948179027990652
1.4438,-0.0946846802338272
1.4441,-0.0945521557352123
1.4444,-0.094420325519426
1.4447,-0.0942891858308952
1.445,-0.0941587329420306
1.4453,-0.0940289631529701
1.4456,-0.0938998727913597
1.4459,-0.0937714582121253
1.4462,-0.0936437157972287
1.4465,-0.0935166419554535
1.4468,-0.0933902331221676
1.4471,-0.0932644857591162
1.4474,-0.0931393963541859
1.4477,-0.0930149614211899
1.448,-0.0928911774996603
1.4483,-0.0927680411546235
1.4486,-0.0926455489763933
1.4489,-0.0925236975803553
1.4492,-0.0924024836067625
1.4495,-0.0922819037205352
1.4498,-0.0921619546110482
1.4501,-0.0920426329919272
1.4504,-0.0919239356008545
1.4507,-0.0918058591993727
1.451,-0.0916884005726809
1.4513,-0.0915715565294458
1.4516,-0.0914553239016049
1.4519,-0.0913396995441785
1.4522,-0.0912246803350847
1.4525,-0.0911102631749386
1.4528,-0.0909964449868876
1.4531,-0.0908832227164062
1.4534,-0.0907705933311342
1.4537,-0.0906585538206792
1.454,-0.090547101196453
1.4543,-0.0904362324914826
1.4546,-0.0903259447602414
1.4549,-0.0902162350784802
1.4552,-0.0901071005430487
1.4555,-0.089998538271721
1.4558,-0.0898905454030427
1.4561,-0.0897831190961527
1.4564,-0.0896762565306169
1.4567,-0.0895699549062739
1.457,-0.0894642114430614
1.4573,-0.0893590233808631
1.4576,-0.0892543879793481
1.4579,-0.0891503025178169
1.4582,-0.0890467642950356
1.4585,-0.0889437706290871
1.4588,-0.0888413188572212
1.4591,-0.0887394063357004
1.4594,-0.088638030439644
1.4597,-0.0885371885628841
1.46,-0.0884368781178216
1.4603,-0.0883370965352728
1.4606,-0.0882378412643339
1.4609,-0.088139109772224
1.4612,-0.0880408995441485
1.4615,-0.0879432080831705
1.4618,-0.08784603291005
1.4621,-0.0877493715631292
1.4624,-0.0876532215981699
1.4627,-0.087557580588238
1.463,-0.0874624461235619
1.4633,-0.0873678158113955
