"Freq [GHz]","dB(S(1,1)) []"
1.4,-0.237375656523175
1.4003,-0.23640451074565
1.4006,-0.235440617419138
1.4009,-0.234483906332157
1.4012,-0.233534308116079
1.4015,-0.232591754233132
1.4018,-0.231656176964651
1.4021,-0.230727509399476
1.4024,-0.229805685422549
1.4027,-0.228890639703722
1.403,-0.227982307686707
1.4033,-0.227080625578241
1.4036,-0.226185530337401
1.4039,-0.225296959665102
1.4042,-0.224414851993753
1.4045,-0.22353914647711
1.4048,-0.222669782980249
1.4051,-0.221806702069723
1.4054,-0.220949845003886
1.4057,-0.220099153723344
1.406,-0.219254570841567
1.4063,-0.21841603963568
1.4066,-0.217583504037341
1.4069,-0.216756908623826
1.4072,-0.215936198609194
1.4075,-0.215121319835654
1.4078,-0.214312218765003
1.4081,-0.21350884247026
1.4084,-0.212711138627369
1.4087,-0.211919055507091
1.409,-0.211132541966979
1.4093,-0.210351547443493
1.4096,-0.209576021944242
1.4099,-0.208805916040336
1.4102,-0.208041180858863
1.4105,-0.207281768075484
1.4108,-0.206527629907126
1.4111,-0.205778719104812
1.4114,-0.205034988946572
1.4117,-0.204296393230498
1.412,-0.203562886267865
1.4123,-0.202834422876384
1.4126,-0.202110958373555
1.4129,-0.201392448570103
1.4132,-0.200678849763544
1.4135,-0.199970118731808
1.4138,-0.199266212726999
1.4141,-0.198567089469211
1.4144,-0.197872707140478
1.4147,-0.197183024378775
1.415,-0.196498000272125
1.4153,-0.195817594352812
1.4156,-0.195141766591644
1.4159,-0.19447047739233
1.4162,-0.193803687585922
1.4165,-0.193141358425366
1.4168,-0.192483451580092
1.4171,-0.191829929130722
1.4174,-0.19118075356384
1.4177,-0.190535887766827
1.418,-0.189895295022801
1.4183,-0.189258939005611
1.4186,-0.188626783774893
1.4189,-0.187998793771231
1.4192,-0.187374933811357
1.4195,-0.186755169083441
1.4198,-0.186139465142437
1.4201,-0.185527787905505
1.4204,-0.184920103647494
1.4207,-0.184316378996484
1.421,-0.183716580929415
1.4213,-0.183120676767745
1.4216,-0.182528634173202
1.4219,-0.181940421143575
1.4222,-0.181356006008573
1.4225,-0.180775357425753
1.4228,-0.180198444376474
1.4231,-0.179625236161961
1.4234,-0.179055702399365
1.4237,-0.178489813017922
1.424,-0.177927538255148
1.4243,-0.177368848653098
1.4246,-0.176813715054656
1.4249,-0.17626210859991
1.4252,-0.175714000722542
1.4255,-0.1751693631463
1.4258,-0.174628167881502
1.4261,-0.174090387221582
1.4264,-0.173555993739707
1.4267,-0.173024960285422
1.427,-0.17249725998135
1.4273,-0.171972866219926
1.4276,-0.171451752660193
1.4279,-0.170933893224638
1.4282,-0.170419262096062
1.4285,-0.16990783371449
1.4288,-0.169399582774148
1.4291,-0.168894484220455
1.4294,-0.168392513247067
1.4297,-0.167893645292966
1.43,-0.167397856039573
1.4303,-0.166905121407916
1.4306,-0.166415417555834
1.4309,-0.165928720875211
1.4312,-0.165445007989248
1.4315,-0.164964255749782
1.4318,-0.164486441234632
1.4321,-0.164011541744976
1.4324,-0.163539534802782
1.4327,-0.163070398148255
1.433,-0.162604109737329
1.4333,-0.16214064773917
1.4336,-0.161679990533761
1.4339,-0.16122211670946
1.4342,-0.160767005060635
1.4345,-0.160314634585306
1.4348,-0.159864984482828
1.4351,-0.159418034151605
1.4354,-0.158973763186833
1.4357,-0.158532151378257
1.436,-0.158093178707989
1.4363,-0.157656825348331
1.4366,-0.157223071659636
1.4369,-0.156791898188173
1.4372,-0.156363285664079
1.4375,-0.15593721499926
1.4378,-0.15551366728538
1.4381,-0.155092623791853
1.4384,-0.15467406596385
1.4387,-0.15425797542036
1.439,-0.153844333952245
1.4393,-0.153433123520347
1.4396,-0.1530243262536
1.4399,-0.152617924447171
1.4402,-0.152213900560637
1.4405,-0.15181223721617
1.4408,-0.151412917196741
1.4411,-0.151015923444379
1.4414,-0.150621239058405
1.4417,-0.150228847293727
1.442,-0.149838731559149
1.4423,-0.149450875415667
1.4426,-0.149065262574849
1.4429,-0.148681876897177
1.4432,-0.148300702390445
1.4435,-0.147921723208158
1.4438,-0.147544923647967
1.4441,-0.147170288150106
1.4444,-0.146797801295865
1.4447,-0.146427447806083
1.445,-0.146059212539627
1.4453,-0.145693080491938
1.4456,-0.145329036793557
1.4459,-0.144967066708703
1.4462,-0.144607155633821
1.4465,-0.144249289096199
1.4468,-0.143893452752577
1.4471,-0.143539632387765
1.4474,-0.143187813913295
1.4477,-0.142837983366088
1.448,-0.14249012690712
1.4483,-0.142144230820131
1.4486,-0.141800281510324
1.4489,-0.141458265503093
1.4492,-0.141118169442776
1.4495,-0.1407799800914
1.4498,-0.140443684327451
1.4501,-0.140109269144671
1.4504,-0.139776721650859
1.4507,-0.139446029066676
1.451,-0.13911717872449
1.4513,-0.138790158067201
1.4516,-0.138464954647128
1.4519,-0.138141556124849
1.4522,-0.13781995026811
1.4525,-0.137500124950711
1.4528,-0.137182068151425
1.4531,-0.136865767952921
1.4534,-0.136551212540693
1.4537,-0.13623839020203
1.454,-0.135927289324955
1.4543,-0.135617898397215
1.4546,-0.135310206005268
1.4549,-0.135004200833273
1.4552,-0.134699871662112
1.4555,-0.1343972073684
1.4558,-0.13409619692353
1.4561,-0.133796829392711
1.4564,-0.133499093934028
1.4567,-0.133202979797508
1.457,-0.132908476324193
1.4573,-0.132615572945247
1.4576,-0.132324259181031
1.4579,-0.132034524640227
1.4582,-0.131746359018961
1.4585,-0.131459752099927
1.4588,-0.131174693751529
1.4591,-0.130891173927024
1.4594,-0.130609182663705
1.4597,-0.130328710082039
1.46,-0.130049746384878
1.4603,-0.129772281856621
1.4606,-0.129496306862435
1.4609,-0.12922181184744
1.4612,-0.128948787335944
1.4615,-0.128677223930661
1.4618,-0.128407112311943
1.4621,-0.128138443237018
1.4624,-0.127871207539259
1.4627,-0.127605396127428
1.463,-0.127340999984946
1.4633,-0.127078010169175
1.4636,-0.126816417810699
1.4639,-0.126556214112618
1.4642,-0.126297390349848
1.4645,-0.126039937868425
1.4648,-0.125783848084831
1.4651,-0.125529112485313
1.4654,-0.125275722625208
1.4657,-0.125023670128284
1.466,-0.124772946686105
1.4663,-0.124523544057354
1.4666,-0.12427545406721
1.4669,-0.124028668606726
1.4672,-0.123783179632176
1.4675,-0.123538979164462
1.4678,-0.123296059288489
1.4681,-0.123054412152565
1.4684,-0.122814029967803
1.4687,-0.122574905007527
1.469,-0.122337029606685
1.4693,-0.122100396161276
1.4696,-0.121864997127776
1.4699,-0.121630825022563
1.4702,-0.121397872421376
1.4705,-0.121166131958741
1.4708,-0.120935596327432
1.4711,-0.120706258277931
1.4714,-0.12047811061789
1.4717,-0.120251146211598
1.472,-0.12002535797946
1.4723,-0.119800738897477
1.4726,-0.119577281996731
1.4729,-0.119354980362882
1.4732,-0.119133827135654
1.4735,-0.118913815508361
1.4738,-0.118694938727387
1.4741,-0.118477190091718
1.4744,-0.118260562952461
1.4747,-0.118045050712354
1.475,-0.117830646825315
1.4753,-0.117617344795954
1.4756,-0.117405138179129
1.4759,-0.117194020579487
1.4762,-0.116983985651004
1.4765,-0.11677502709655
1.4768,-0.116567138667433
1.4771,-0.116360314162978
1.4774,-0.116154547430084
1.4777,-0.115949832362798
1.478,-0.115746162901892
1.4783,-0.115543533034445
1.4786,-0.115341936793428
1.4789,-0.115141368257291
1.4792,-0.114941821549556
1.4795,-0.11474329083843
1.4798,-0.114545770336377
1.4801,-0.114349254299759
1.4804,-0.114153737028424
1.4807,-0.113959212865324
1.481,-0.113765676196138
1.4813,-0.113573121448898
1.4816,-0.113381543093603
1.4819,-0.113190935641862
1.4822,-0.11300129364652
1.4825,-0.1128126117013
1.4828,-0.112624884440438
1.4831,-0.112438106538343
1.4834,-0.112252272709226
1.4837,-0.112067377706767
1.484,-0.111883416323767
1.4843,-0.111700383391806
1.4846,-0.111518273780906
1.4849,-0.111337082399199
1.4852,-0.111156804192593
1.4855,-0.110977434144458
1.4858,-0.110798967275278
1.4861,-0.110621398642353
1.4864,-0.110444723339479
1.4867,-0.11026893649662
1.487,-0.110094033279608
1.4873,-0.109920008889837
1.4876,-0.109746858563955
1.4879,-0.109574577573564
1.4882,-0.109403161224912
1.4885,-0.109232604858619
1.4888,-0.109062903849361
1.4891,-0.108894053605593
1.4894,-0.108726049569263
1.4897,-0.108558887215523
1.49,-0.108392562052453
1.4903,-0.108227069620775
1.4906,-0.108062405493587
1.4909,-0.107898565276082
1.4912,-0.107735544605284
1.4915,-0.107573339149779
1.4918,-0.107411944609443
1.4921,-0.107251356715197
1.4924,-0.107091571228731
1.4927,-0.106932583942246
1.493,-0.106774390678216
1.4933,-0.106616987289124
1.4936,-0.106460369657209
1.4939,-0.106304533694233
1.4942,-0.106149475341215
1.4945,-0.105995190568218
1.4948,-0.105841675374077
1.4951,-0.105688925786181
1.4954,-0.10553693786024
1.4957,-0.105385707680038
1.496,-0.105235231357211
1.4963,-0.105085505031015
1.4966,-0.104936524868108
1.4969,-0.10478828706231
1.4972,-0.104640787834397
1.4975,-0.104494023431873
1.4978,-0.104347990128752
1.4981,-0.104202684225341
1.4984,-0.104058102048038
1.4987,-0.103914239949102
1.499,-0.103771094306455
1.4993,-0.103628661523477
1.4996,-0.103486938028793
1.4999,-0.103345920276072
1.5002,-0.103205604743825
1.5005,-0.103065987935206
1.5008,-0.102927066377812
1.5011,-0.102788836623492
1.5014,-0.102651295248148
1.5017,-0.102514438851546
1.502,-0.10237826405712
1.5023,-0.10224276751179
1.5026,-0.102107945885771
1.5029,-0.101973795872385
1.5032,-0.101840314187893
1.5035,-0.101707497571287
1.5038,-0.101575342784134
1.5041,-0.101443846610388
1.5044,-0.101313005856209
1.5047,-0.101182817349794
1.505,-0.101053277941208
1.5053,-0.100924384502198
1.5056,-0.100796133926034
1.5059,-0.100668523127343
1.5062,-0.100541549041926
1.5065,-0.100415208626616
1.5068,-0.100289498859088
1.5071,-0.100164416737719
1.5074,-0.100039959281417
1.5077,-0.0999161235294571
1.508,-0.099792906541332
1.5083,-0.0996703053965909
1.5086,-0.0995483171946865
1.5089,-0.099426939054822
1.5092,-0.099306168115794
1.5095,-0.0991860015358474
1.5098,-0.0990664364925221
1.5101,-0.0989474701825059
1.5104,-0.0988290998214869
1.5107,-0.0987113226440165
1.511,-0.098594135903346
1.5113,-0.0984775368713023
1.5116,-0.0983615228381445
1.5119,-0.0982460911124086
1.5122,-0.0981312390207865
1.5125,-0.0980169639079766
1.5128,-0.0979032631365536
1.5131,-0.097790134086831
1.5134,-0.0976775741567257
1.5137,-0.0975655807616287
1.514,-0.0974541513342699
1.5143,-0.0973432833245911
1.5146,-0.0972329741996116
1.5149,-0.0971232214433069
1.5152,-0.0970140225564761
1.5155,-0.0969053750566199
1.5158,-0.096797276477811
1.5161,-0.0966897243705781
1.5164,-0.0965827163017806
1.5167,-0.0964762498544762
1.517,-0.0963703226278183
1.5173,-0.0962649322369302
1.5176,-0.0961600763127814
1.5179,-0.0960557525020703
1.5182,-0.0959519584671213
1.5185,-0.0958486918857529
1.5188,-0.0957459504511806
1.5191,-0.0956437318718842
1.5194,-0.0955420338715136
1.5197,-0.0954408541887648
1.52,-0.0953401905772841
1.5203,-0.0952400408055422
1.5206,-0.0951404026567389
1.5209,-0.0950412739286876
1.5212,-0.0949426524337133
1.5215,-0.094844535998552
1.5218,-0.0947469224642386
1.5221,-0.0946498096859959
1.5224,-0.0945531955331567
1.5227,-0.09445707788904
1.523,-0.0943614546508567
1.5233,-0.0942663237296122
1.5236,-0.094171683050013
1.5239,-0.0940775305503409
1.5242,-0.0939838641823992
1.5245,-0.093890681911374
1.5248,-0.0937979817157703
1.5251,-0.0937057615872983
1.5254,-0.0936140195307898
1.5257,-0.0935227535640938
1.526,-0.0934319617179933
1.5263,-0.0933416420361154
1.5266,-0.0932517925748322
1.5269,-0.0931624114031744
1.5272,-0.0930734966027448
1.5275,-0.0929850462676267
1.5278,-0.092897058504294
1.5281,-0.0928095314315301
1.5284,-0.092722463180342
1.5287,-0.0926358518938647
1.529,-0.0925496957272876
1.5293,-0.0924639928477635
1.5296,-0.092378741434326
1.5299,-0.0922939396778149
1.5302,-0.0922095857807876
1.5305,-0.0921256779574287
1.5308,-0.0920422144334893
1.5311,-0.0919591934461913
1.5314,-0.091876613244158
1.5317,-0.0917944720873265
1.532,-0.091712768246876
1.5323,-0.091631500005155
1.5326,-0.0915506656555896
1.5329,-0.0914702635026256
1.5332,-0.0913902918616409
1.5335,-0.0913107490588709
1.5338,-0.0912316334313472
1.5341,-0.0911529433268094
1.5344,-0.091074677103639
1.5347,-0.0909968331307859
1.535,-0.0909194097876995
1.5353,-0.0908424054642567
1.5356,-0.0907658185606829
1.5359,-0.0906896474875022
1.5362,-0.0906138906654483
1.5365,-0.0905385465254028
1.5368,-0.0904636135083321
1.5371,-0.0903890900652126
1.5374,-0.0903149746569695
1.5377,-0.0902412657544073
1.538,-0.0901679618381366
1.5383,-0.0900950613985387
1.5386,-0.0900225629356489
1.5389,-0.0899504649591502
1.5392,-0.0898787659882651
1.5395,-0.0898074645517168
1.5398,-0.0897365591876556
1.5401,-0.0896660484436007
1.5404,-0.0895959308763834
1.5407,-0.0895262050520733
1.541,-0.089456869545931
1.5413,-0.0893879229423442
1.5416,-0.0893193638347594
1.5419,-0.089251190825635
1.5422,-0.089183402526377
1.5425,-0.0891159975572815
1.5428,-0.0890489745474796
1.5431,-0.0889823321348694
1.5434,-0.088916068966079
1.5437,-0.0888501836963896
1.544,-0.0887846749896955
1.5443,-0.0887195415184413
1.5446,-0.0886547819635635
1.5449,-0.0885903950144492
1.5452,-0.0885263793688654
1.5455,-0.0884627337329178
1.5458,-0.0883994568209948
1.5461,-0.0883365473557167
1.5464,-0.0882740040678689
1.5467,-0.0882118256963742
1.547,-0.0881500109882239
1.5473,-0.0880885586984326
1.5476,-0.0880274675899873
1.5479,-0.0879667364337975
1.5482,-0.0879063640086452
1.5485,-0.0878463491011301
1.5488,-0.0877866905056376
1.5491,-0.0877273870242676
1.5494,-0.0876684374668016
1.5497,-0.0876098406506543
1.55,-0.0875515954008125
1.5503,-0.0874937005498135
1.5506,-0.0874361549376702
1.5509,-0.0873789574118421
1.5512,-0.0873221068271918
1.5515,-0.0872656020459219
1.5518,-0.0872094419375481
1.5521,-0.0871536253788486
1.5524,-0.0870981512538142
1.5527,-0.087043018453613
1.553,-0.0869882258765365
1.5533,-0.0869337724279696
1.5536,-0.0868796570203337
1.5539,-0.0868258785730545
1.5542,-0.0867724360125138
1.5545,-0.08671932827201
1.5548,-0.0866665542917186
1.5551,-0.0866141130186395
1.5554,-0.0865620034065794
1.5557,-0.0865102244160819
1.556,-0.0864587750144108
1.5563,-0.0864076541754989
1.5566,-0.0863568608799105
1.5569,-0.086306394114803
1.5572,-0.0862562528738819
1.5575,-0.0862064361573785
1.5578,-0.0861569429719881
1.5581,-0.0861077723308528
1.5584,-0.0860589232535103
1.5587,-0.0860103947658604
1.559,-0.085962185900133
1.5593,-0.0859142956948442
1.5596,-0.0858667231947582
1.5599,-0.085819467450863
1.5602,-0.0857725275203217
1.5605,-0.0857259024664392
1.5608,-0.0856795913586321
1.5611,-0.0856335932723909
1.5614,-0.0855879072892435
1.5617,-0.0855425324967186
1.562,-0.0854974679883184
1.5623,-0.0854527128634793
1.5626,-0.0854082662275383
1.5629,-0.0853641271917014
1.5632,-0.0853202948730129
1.5635,-0.0852767683943113
1.5638,-0.0852335468842051
1.5641,-0.0851906294770494
1.5644,-0.0851480153128925
1.5647,-0.0851057035374602
1.565,-0.085063693302116
1.5653,-0.085021983763835
1.5656,-0.0849805740851727
1.5659,-0.0849394634342229
1.5662,-0.0848986509846057
1.5665,-0.0848581359154212
1.5668,-0.0848179174112267
1.5671,-0.0847779946620023
1.5674,-0.084738366863132
1.5677,-0.0846990332153554
1.568,-0.0846599929247578
1.5683,-0.0846212452027237
1.5686,-0.0845827892659254
1.5689,-0.0845446243362818
1.5692,-0.0845067496409345
1.5695,-0.0844691644122188
1.5698,-0.0844318678876339
1.5701,-0.0843948593098206
1.5704,-0.0843581379265315
1.5707,-0.0843217029905957
1.571,-0.0842855537599102
1.5713,-0.0842496894973927
1.5716,-0.0842141094709638
1.5719,-0.0841788129535279
1.5722,-0.0841437992229353
1.5725,-0.0841090675619578
1.5728,-0.0840746172582721
1.5731,-0.0840404476044235
1.5734,-0.0840065578978084
1.5737,-0.0839729474406434
1.574,-0.0839396155399427
1.5743,-0.0839065615074927
1.5746,-0.0838737846598338
1.5749,-0.0838412843182244
1.5752,-0.0838090598086187
1.5755,-0.0837771104616557
1.5758,-0.0837454356126232
1.5761,-0.0837140346014361
1.5764,-0.0836829067726099
1.5767,-0.0836520514752511
1.577,-0.0836214680630191
1.5773,-0.083591155894106
1.5776,-0.0835611143312231
1.5779,-0.0835313427415681
1.5782,-0.0835018404968057
1.5785,-0.0834726069730526
1.5788,-0.083443641550847
1.5791,-0.0834149436151212
1.5794,-0.083386512555199
1.5797,-0.0833583477647583
1.58,-0.0833304486418151
1.5803,-0.083302814588703
1.5806,-0.0832754450120486
1.5809,-0.0832483393227582
1.5812,-0.0832214969359882
1.5815,-0.0831949172711341
1.5818,-0.0831685997517972
1.5821,-0.0831425438057784
1.5824,-0.0831167488650501
1.5827,-0.0830912143657409
1.583,-0.0830659397481082
1.5833,-0.0830409244565334
1.5836,-0.0830161679394817
1.5839,-0.0829916696495023
1.5842,-0.0829674290432017
1.5845,-0.0829434455812236
1.5848,-0.0829197187282251
1.5851,-0.0828962479528772
1.5854,-0.0828730327278228
1.5857,-0.0828500725296773
1.586,-0.0828273668389908
1.5863,-0.082804915140259
1.5866,-0.082782716921874
1.5869,-0.0827607716761275
1.5872,-0.0827390788991836
1.5875,-0.0827176380910715
1.5878,-0.0826964487556519
1.5881,-0.0826755104006177
1.5884,-0.0826548225374629
1.5887,-0.0826343846814743
1.589,-0.0826141963517142
1.5893,-0.0825942570709975
1.5896,-0.0825745663658848
1.5899,-0.082555123766659
1.5902,-0.0825359288073062
1.5905,-0.0825169810255143
1.5908,-0.0824982799626429
1.5911,-0.0824798251637118
1.5914,-0.0824616161773853
1.5917,-0.0824436525559621
1.592,-0.0824259338553518
1.5923,-0.0824084596350634
1.5926,-0.0823912294581929
1.5929,-0.0823742428913992
1.5932,-0.0823574995049029
1.5935,-0.0823409988724608
1.5938,-0.0823247405713568
1.5941,-0.0823087241823856
1.5944,-0.0822929492898337
1.5947,-0.0822774154814793
1.595,-0.0822621223485566
1.5953,-0.0822470694857684
1.5956,-0.0822322564912449
1.5959,-0.082217682966549
1.5962,-0.0822033485166618
1.5965,-0.0821892527499538
1.5968,-0.0821753952781892
1.5971,-0.0821617757165059
1.5974,-0.0821483936833942
1.5977,-0.0821352488006985
1.598,-0.0821223406935986
1.5983,-0.0821096689905911
1.5986,-0.0820972333234809
1.5989,-0.0820850333273726
1.5992,-0.0820730686406505
1.5995,-0.0820613389049791
1.5998,-0.0820498437652703
1.6001,-0.0820385828696884
1.6004,-0.0820275558696393
1.6007,-0.0820167624197373
1.601,-0.0820062021778212
1.6013,-0.0819958748049236
1.6016,-0.0819857799652693
1.6019,-0.0819759173262522
1.6022,-0.0819662865584398
1.6025,-0.081956887335547
1.6028,-0.0819477193344378
1.6031,-0.081938782235102
1.6034,-0.0819300757206557
1.6037,-0.0819215994773185
1.604,-0.0819133531944184
1.6043,-0.0819053365643615
1.6046,-0.0818975492826415
1.6049,-0.0818899910478097
1.6052,-0.0818826615614845
1.6055,-0.0818755605283267
1.6058,-0.0818686876560333
1.6061,-0.0818620426553287
1.6064,-0.0818556252399538
1.6067,-0.0818494351266556
1.607,-0.0818434720351834
1.6073,-0.0818377356882673
1.6076,-0.0818322258116184
1.6079,-0.0818269421339154
1.6082,-0.0818218843867954
1.6085,-0.0818170523048487
1.6088,-0.0818124456256003
1.6091,-0.0818080640895107
1.6094,-0.0818039074399631
1.6097,-0.0817999754232471
1.61,-0.0817962677885682
1.6103,-0.0817927842880223
1.6106,-0.0817895246765848
1.6109,-0.0817864887121208
1.6112,-0.0817836761553611
1.6115,-0.0817810867698949
1.6118,-0.081778720322171
1.6121,-0.0817765765814759
1.6124,-0.0817746553199414
1.6127,-0.0817729563125199
1.613,-0.0817714793369888
1.6133,-0.0817702241739392
1.6136,-0.0817691906067664
1.6139,-0.0817683784216608
1.6142,-0.0817677874076034
1.6145,-0.0817674173563577
1.6148,-0.0817672680624676
1.6151,-0.0817673393232324
1.6154,-0.0817676309387248
1.6157,-0.0817681427117589
1.616,-0.081768874447904
1.6163,-0.0817698259554571
1.6166,-0.0817709970454582
1.6169,-0.0817723875316644
1.6172,-0.0817739972305537
1.6175,-0.0817758259613147
1.6178,-0.0817778735458384
1.6181,-0.0817801398087171
1.6184,-0.0817826245772332
1.6187,-0.0817853276813538
1.619,-0.0817882489537247
1.6193,-0.0817913882296643
1.6196,-0.081794745347156
1.6199,-0.0817983201468396
1.6202,-0.0818021124720233
1.6205,-0.0818061221686452
1.6208,-0.0818103490852938
1.6211,-0.0818147930731969
1.6214,-0.0818194539862082
1.6217,-0.0818243316808069
1.622,-0.0818294260160925
1.6223,-0.0818347368537784
1.6226,-0.081840264058184
1.6229,-0.0818460074962372
1.6232,-0.0818519670374544
1.6235,-0.0818581425539532
1.6238,-0.081864533920436
1.6241,-0.081871141014184
1.6244,-0.0818779637150583
1.6247,-0.0818850019054929
1.625,-0.0818922554704869
1.6253,-0.0818997242976057
1.6256,-0.0819074082769688
1.6259,-0.0819153073012485
1.6262,-0.0819234212656693
1.6265,-0.0819317500679967
1.6268,-0.0819402936085385
1.6271,-0.0819490517901366
1.6274,-0.0819580245181631
1.6277,-0.0819672117005158
1.628,-0.0819766132476189
1.6283,-0.0819862290724127
1.6286,-0.0819960590903502
1.6289,-0.0820061032193984
1.6292,-0.0820163613800294
1.6295,-0.0820268334952176
1.6298,-0.0820375194904374
1.6301,-0.0820484192936579
1.6304,-0.0820595328353394
1.6307,-0.0820708600484309
1.631,-0.082082400868368
1.6313,-0.0820941552330623
1.6316,-0.0821061230829107
1.6319,-0.0821183043607787
1.6322,-0.0821306990120042
1.6325,-0.082143306984395
1.6328,-0.0821561282282251
1.6331,-0.0821691626962248
1.6334,-0.0821824103435919
1.6337,-0.0821958711279735
1.634,-0.0822095450094715
1.6343,-0.0822234319506421
1.6346,-0.0822375319164876
1.6349,-0.0822518448744527
1.6352,-0.0822663707944285
1.6355,-0.0822811096487415
1.6358,-0.0822960614121628
1.6361,-0.082311226061894
1.6364,-0.0823266035775698
1.6367,-0.0823421939412592
1.637,-0.0823579971374544
1.6373,-0.0823740131530822
1.6376,-0.0823902419774839
1.6379,-0.0824066836024295
1.6382,-0.0824233380221084
1.6385,-0.082440205233128
1.6388,-0.0824572852345103
1.6391,-0.0824745780276975
1.6394,-0.0824920836165392
1.6397,-0.0825098020073017
1.64,-0.0825277332086568
1.6403,-0.082545877231688
1.6406,-0.0825642340898864
1.6409,-0.0825828037991461
1.6412,-0.0826015863777658
1.6415,-0.0826205818464495
1.6418,-0.0826397902283028
1.6421,-0.0826592115488286
1.6424,-0.0826788458359349
1.6427,-0.0826986931199247
1.643,-0.0827187534334975
1.6433,-0.082739026811753
1.6436,-0.0827595132921851
1.6439,-0.0827802129146853
1.6442,-0.0828011257215355
1.6445,-0.0828222517574153
1.6448,-0.0828435910693946
1.6451,-0.0828651437069314
1.6454,-0.0828869097218918
1.6457,-0.0829088891685133
1.646,-0.0829310821034407
1.6463,-0.082953488585702
1.6466,-0.0829761086767198
1.6469,-0.0829989424403001
1.6472,-0.0830219899426495
1.6475,-0.08304525125236
1.6478,-0.0830687264404146
1.6481,-0.0830924155801844
1.6484,-0.0831163187474329
1.6487,-0.0831404360203186
1.649,-0.0831647674793855
1.6493,-0.0831893132075701
1.6496,-0.083214073290201
1.6499,-0.0832390478150005
1.6502,-0.0832642368720803
1.6505,-0.0832896405539506
1.6508,-0.0833152589555091
1.6511,-0.0833410921740495
1.6514,-0.0833671403092648
1.6517,-0.0833934034632378
1.652,-0.0834198817404512
1.6523,-0.0834465752477872
1.6526,-0.0834734840945192
1.6529,-0.0835006083923291
1.6532,-0.0835279482552969
1.6535,-0.0835555037998956
1.6538,-0.0835832751450131
1.6541,-0.0836112624119332
1.6544,-0.0836394657243499
1.6547,-0.0836678852083622
1.655,-0.0836965209924753
1.6553,-0.0837253732076085
1.6556,-0.0837544419870882
1.6559,-0.0837837274666523
1.6562,-0.0838132297844595
1.6565,-0.08384294908108
1.6568,-0.0838728854994996
1.6571,-0.083903039185129
1.6574,-0.0839334102857975
1.6577,-0.0839639989517605
1.658,-0.0839948053356943
1.6583,-0.0840258295927062
1.6586,-0.0840570718803313
1.6589,-0.0840885323585401
1.6592,-0.0841202111897334
1.6595,-0.0841521085387509
1.6598,-0.0841842245728696
1.6601,-0.0842165594618074
1.6604,-0.0842491133777264
1.6607,-0.0842818864952368
1.661,-0.084314878991395
1.6613,-0.0843480910457086
1.6616,-0.0843815228401405
1.6619,-0.0844151745591125
1.6622,-0.0844490463895051
1.6625,-0.0844831385206546
1.6628,-0.0845174511443761
1.6631,-0.0845519844549434
1.6634,-0.0845867386491023
1.6637,-0.0846217139260812
1.664,-0.0846569104875777
1.6643,-0.0846923285377758
1.6646,-0.08472796828334
1.6649,-0.084763829933431
1.6652,-0.0847999136996889
1.6655,-0.0848362197962597
1.6658,-0.0848727484397831
1.6661,-0.0849094998493999
1.6664,-0.0849464742467589
1.6667,-0.0849836718560179
1.667,-0.0850210929038485
1.6673,-0.0850587376194336
