"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,3.14422573187011
1.57542,0,-170,2.70060733870104
1.57542,0,-160,9.66260463218317
1.57542,0,-150,28.5945922342573
1.57542,0,-140,14.4399550261095
1.57542,0,-130,11.9120008334058
1.57542,0,-120,10.5856921772121
1.57542,0,-110,9.53990292476324
1.57542,0,-100,8.57752946247473
1.57542,0,-90,7.60735227704008
1.57542,0,-80,6.59238033081172
1.57542,0,-70,5.55574969565083
1.57542,0,-60,4.55474010992362
1.57542,0,-50,3.66838251959374
1.57542,0,-40,3.01278358488533
1.57542,0,-30,2.71761237924838
1.57542,0,-20,2.77819787230627
1.57542,0,-10,2.99268660888499
1.57542,0,0,3.1497804110379
1.57542,0,10,3.16460878949237
1.57542,0,20,3.0918139518496
1.57542,0,30,3.08644730645367
1.57542,0,40,3.30320713915518
1.57542,0,50,3.77943021613368
1.57542,0,60,4.44524681637293
1.57542,0,70,5.21765801875989
1.57542,0,80,6.04382256945977
1.57542,0,90,6.90100449427282
1.57542,0,100,7.79683584268118
1.57542,0,110,8.76893676707346
1.57542,0,120,9.88181162030695
1.57542,0,130,11.3435253536148
1.57542,0,140,14.3019174458694
1.57542,0,150,38.4597468018158
1.57542,0,160,8.52615390199029
1.57542,0,170,2.81506767867758
1.57542,0,180,3.14422573187012
