"Freq [GHz]","dB(S(1,1)) []","dB(S(2,2)) []","dB(S(3,3)) []","dB(S(4,4)) []"
1,-0.0463610993539459,-0.0460694749106361,-0.0459636010939998,-0.0461504099124342
1.00033333333333,-0.0463866957984674,-0.0460949411298506,-0.045989074861851,-0.0461762063778576
1.00066666666667,-0.0464123569647011,-0.046120471778774,-0.0460146130287443,-0.0462020681739248
1.001,-0.0464380829950365,-0.0461460669991391,-0.0460402157366236,-0.0462279954449698
1.00133333333333,-0.0464638740323054,-0.0461717269331225,-0.0460658831278724,-0.0462539883357931
1.00166666666667,-0.0464897302197906,-0.0461974517233463,-0.0460916153453242,-0.0462800469916397
1.002,-0.0465156517012223,-0.0462232415128757,-0.0461174125322536,-0.0463061715582036
1.00233333333333,-0.0465416386207825,-0.0462490964452194,-0.0461432748323847,-0.0463323621816514
1.00266666666667,-0.0465676911230949,-0.0462750166643457,-0.0461692023898923,-0.0463586190085988
1.003,-0.0465938093532534,-0.0463010023146576,-0.0461951953494016,-0.0463849421861168
1.00333333333333,-0.0466199934567906,-0.0463270535410208,-0.0462212538559859,-0.0464113318617496
1.00366666666667,-0.046646243579705,-0.0463531704887521,-0.0462473780551781,-0.0464377881834968
1.004,-0.0466725598684489,-0.0463793533036166,-0.0462735680929597,-0.0464643112998235
1.00433333333333,-0.0466989424699317,-0.0464056021318432,-0.0462998241157787,-0.0464909013596627
1.00466666666667,-0.0467253915315334,-0.0464319171201127,-0.0463261462705312,-0.046517558512419
1.005,-0.0467519072010874,-0.046458298415572,-0.0463525347045784,-0.046544282907961
1.00533333333333,-0.0467784896268917,-0.0464847461658179,-0.046378989565747,-0.0465710746966269
1.00566666666667,-0.0468051389577139,-0.0465112605189218,-0.0464055110023189,-0.0465979340292344
1.006,-0.0468318553427868,-0.0465378416234133,-0.0464320991630446,-0.0466248610570719
1.00633333333333,-0.0468586389318116,-0.0465644896282847,-0.0464587541971425,-0.0466518559319044
1.00666666666667,-0.0468854898749683,-0.0465912046829991,-0.0464854762542986,-0.0466789188059756
1.007,-0.04691240832289,-0.0466179869374872,-0.0465122654846648,-0.0467060498320064
1.00733333333333,-0.0469393944267057,-0.0466448365421536,-0.0465391220388697,-0.0467332491632006
1.00766666666667,-0.0469664483380049,-0.0466717536478696,-0.0465660460680113,-0.0467605169532471
1.008,-0.0469935702088599,-0.046698738405982,-0.0465930377236644,-0.0467878533563155
1.00833333333333,-0.0470207601918222,-0.0467257909683162,-0.0466200971578736,-0.0468152585270615
1.00866666666667,-0.0470480184399224,-0.0467529114871676,-0.0466472245231746,-0.0468427326206306
1.009,-0.0470753451066728,-0.0467801001153225,-0.046674419972568,-0.0468702757926602
1.00933333333333,-0.0471027403460711,-0.0468073570060303,-0.0467016836595477,-0.0468978881992722
1.00966666666667,-0.0471302043125975,-0.0468346823130377,-0.0467290157380793,-0.0469255699970868
1.01,-0.0471577371612237,-0.0468620761905668,-0.0467564163626235,-0.0469533213432184
1.01033333333333,-0.0471853390474093,-0.0468895387933281,-0.0467838856881187,-0.0469811423952764
1.01066666666667,-0.0472130101270981,-0.0469170702765197,-0.0468114238699984,-0.0470090333113698
1.011,-0.0472407505567372,-0.0469446707958229,-0.0468390310641777,-0.0470369942501053
1.01133333333333,-0.0472685604932578,-0.0469723405074164,-0.0468667074270718,-0.0470650253705939
1.01166666666667,-0.0472964400940937,-0.0470000795679681,-0.0468944531155862,-0.0470931268324496
1.012,-0.0473243895171725,-0.0470278881346402,-0.0469222682871156,-0.0471212987957886
1.01233333333333,-0.0473524089209196,-0.0470557663650884,-0.0469501530995562,-0.0471495414212368
1.01266666666667,-0.0473804984642656,-0.0470837144174682,-0.046978107711304,-0.0471778548699294
1.013,-0.0474086583066442,-0.0471117324504325,-0.0470061322812512,-0.0472062393035113
1.01333333333333,-0.0474368886079892,-0.0471398206231373,-0.0470342269687932,-0.0472346948841413
1.01366666666667,-0.0474651895287405,-0.0471679790952377,-0.0470623919338314,-0.0472632217744861
1.014,-0.0474935612298519,-0.0471962080268997,-0.0470906273367665,-0.0472918201377374
1.01433333333333,-0.0475220038727813,-0.0472245075787847,-0.0471189333385146,-0.0473204901375973
1.01466666666667,-0.0475505176195023,-0.0472528779120726,-0.0471473101004914,-0.0473492319382931
