"Freq [GHz]","dB(S(1,1)) []","dB(S(2,2)) []","dB(S(3,3)) []","dB(S(4,4)) []"
1,-0.0460756588529932,-0.0461458793674272,-0.0460658815100986,-0.046229088042873
1.00033333333333,-0.0461017686545635,-0.0461718949899348,-0.0460917778820334,-0.0462552599654795
1.00066666666667,-0.0461279457373707,-0.0461979775387514,-0.0461177408241726,-0.0462814992008195
1.001,-0.0461541902501622,-0.0462241271613452,-0.0461437704831348,-0.0463078058978812
1.00133333333333,-0.0461805023421595,-0.0462503440056531,-0.0461698670060165,-0.0463341802061098
1.00166666666667,-0.0462068821630659,-0.0462766282200863,-0.0461960305403832,-0.0463606222754502
1.002,-0.0462333298630666,-0.0463029799535278,-0.0462222612342708,-0.0463871322563211
1.00233333333333,-0.0462598455928295,-0.0463293993553497,-0.0462485592361994,-0.0464137102996263
1.00266666666667,-0.0462864295035054,-0.0463558865753956,-0.046274924695159,-0.0464403565567538
1.003,-0.0463130817467347,-0.0463824417639975,-0.0463013577606177,-0.046467071179586
1.00333333333333,-0.0463398024746525,-0.0464090650719597,-0.0463278585825329,-0.0464938543204864
1.00366666666667,-0.0463665918398697,-0.0464357566505847,-0.0463544273113385,-0.0465207061323136
1.004,-0.0463934499955008,-0.0464625166516534,-0.046381064097946,-0.0465476267684195
1.00433333333333,-0.0464203770951486,-0.046489345227438,-0.0464077690937664,-0.0465746163826489
1.00466666666667,-0.0464473732929122,-0.0465162425307005,-0.0464345424506897,-0.0466016751293437
1.005,-0.0464744387433942,-0.0465432087146916,-0.0464613843210965,-0.046628803163341
1.00533333333333,-0.0465015736016856,-0.0465702439331636,-0.046488294857859,-0.0466560006399827
1.00566666666667,-0.0465287780233824,-0.0465973483403544,-0.0465152742143356,-0.0466832677151059
1.006,-0.0465560521645833,-0.0466245220910055,-0.0465423225443893,-0.0467106045450551
1.00633333333333,-0.0465833961818929,-0.0466517653403547,-0.0465694400023735,-0.0467380112866813
1.00666666666667,-0.0466108102324209,-0.0466790782441418,-0.0465966267431396,-0.0467654880973351
