"Freq [GHz]","dB(S(1,1)) []","dB(S(2,2)) []","dB(S(3,3)) []","dB(S(4,4)) []"
1,-0.0454652800057058,-0.0453913788396707,-0.0452197676112256,-0.0453866580115813
1.00033333333333,-0.0454892468358321,-0.0454155030456361,-0.0452434939512985,-0.0454104107841991
1.00066666666667,-0.0455132752719306,-0.0454396893317118,-0.0452672812321536,-0.0454342245639633
1.001,-0.0455373654470368,-0.0454639378328938,-0.0452911295847125,-0.0454580994818813
1.00133333333333,-0.0455615174946113,-0.0454882486846013,-0.0453150391403013,-0.0454820356693819
1.00166666666667,-0.0455857315485298,-0.0455126220226774,-0.045339010030669,-0.045506033258301
1.002,-0.0456100077430934,-0.045537057983402,-0.0453630423879761,-0.0455300923808853
1.00233333333333,-0.0456343462130159,-0.045561556703479,-0.0453871363447932,-0.0455542131698059
1.00266666666667,-0.0456587470934504,-0.0455861183200425,-0.0454112920341154,-0.0455783957581372
1.003,-0.0456832105199619,-0.0456107429706656,-0.0454355095893485,-0.0456026402793856
1.00333333333333,-0.0457077366285515,-0.0456354307933493,-0.0454597891443229,-0.0456269468674637
1.00366666666667,-0.0457323255556392,-0.0456601819265324,-0.0454841308332887,-0.0456513156567098
1.004,-0.0457569774380822,-0.0456849965090912,-0.0455085347909186,-0.0456757467818932
1.00433333333333,-0.0457816924131671,-0.0457098746803402,-0.0455330011523058,-0.0457002403781914
1.00466666666667,-0.0458064706186147,-0.045734816580038,-0.0455575300529778,-0.0457247965812123
1.005,-0.0458313121925766,-0.0457598223483765,-0.0455821216288742,-0.0457494155269981
1.00533333333333,-0.0458562172736414,-0.0457848921260026,-0.0456067760163756,-0.0457740973520097
1.00566666666667,-0.045881186000835,-0.0458100260539953,-0.0456314933522899,-0.0457988421931394
1.006,-0.0459062185136217,-0.0458352242738927,-0.0456562737738548,-0.0458236501877119
1.00633333333333,-0.045931314951907,-0.0458604869276662,-0.0456811174187353,-0.0458485214734833
1.00666666666667,-0.0459564754560383,-0.0458858141577517,-0.0457060244250356,-0.0458734561886395
1.007,-0.0459817001668027,-0.0459112061070246,-0.0457309949312993,-0.0458984544718109
1.00733333333333,-0.046006989225437,-0.0459366629188188,-0.0457560290765003,-0.0459235164620569
1.00766666666667,-0.0460323427736212,-0.0459621847369194,-0.0457811270000537,-0.0459486422988769
1.008,-0.0460577609534834,-0.0459877717055731,-0.0458062888418129,-0.0459738321222088
1.00833333333333,-0.046083243907599,-0.046013423969471,-0.0458315147420775,-0.0459990860724334
1.00866666666667,-0.046108791778999,-0.0460391416737775,-0.0458568048415832,-0.0460244042903787
1.009,-0.0461344047111646,-0.0460649249641108,-0.0458821592815178,-0.0460497869173034
1.00933333333333,-0.0461600828480289,-0.0460907739865462,-0.0459075782035084,-0.0460752340949257
1.00966666666667,-0.0461858263339839,-0.0461166888876325,-0.045933061749633,-0.0461007459654042
1.01,-0.0462116353138698,-0.0461426698143801,-0.0459586100624217,-0.0461263226713465
1.01033333333333,-0.046237509933004,-0.0461687169142613,-0.0459842232848486,-0.0461519643558143
1.01066666666667,-0.0462634503371453,-0.0461948303352209,-0.0460099015603459,-0.0461776711623192
1.011,-0.0462894566725221,-0.0462210102256733,-0.0460356450327984,-0.046203443234821
1.01133333333333,-0.0463155290858295,-0.0462472567345075,-0.0460614538465403,-0.0462292807177442
1.01166666666667,-0.0463416677242214,-0.0462735700110808,-0.0460873281463724,-0.0462551837559613
1.012,-0.0463678727353204,-0.0462999502052294,-0.0461132680775483,-0.0462811524948077
1.01233333333333,-0.0463941442672217,-0.0463263974672607,-0.0461392737857817,-0.0463071870800748
1.01266666666667,-0.0464204824684794,-0.0463529119479686,-0.0461653454172498,-0.0463332876580215
1.013,-0.0464468874881356,-0.0463794937986232,-0.0461914831185898,-0.0463594543753638
1.01333333333333,-0.0464733594756887,-0.0464061431709733,-0.0462176870369105,-0.0463856873792833
1.01366666666667,-0.0464998985811232,-0.046432860217253,-0.0462439573197823,-0.0464119868174293
1.014,-0.0465265049548951,-0.0464596450901833,-0.0462702941152435,-0.046438352837917
1.01433333333333,-0.046553178747942,-0.04648649794297,-0.0462966975718029,-0.046464785589334
1.01466666666667,-0.046579920111676,-0.0465134189293076,-0.0463231678384439,-0.0464912852207336
1.015,-0.0466067291979984,-0.0465404082033843,-0.0463497050646136,-0.0465178518816469
1.01533333333333,-0.046633606159283,-0.0465674659198721,-0.0463763094002474,-0.0465444857220754
1.01566666666667,-0.046660551148398,-0.0465945922339462,-0.0464029809957473,-0.0465711868924991
1.016,-0.0466875643186947,-0.0466217873012701,-0.0464297200019969,-0.0465979555438745
1.01633333333333,-0.0467146458240129,-0.0466490512780051,-0.0464565265703561,-0.0466247918276397
1.01666666666667,-0.0467417958186823,-0.0466763843208167,-0.0464834008526693,-0.0466516958957091
1.017,-0.0467690144575214,-0.0467037865868653,-0.0465103430012652,-0.0466786679004807
1.01733333333333,-0.0467963018958472,-0.0467312582338183,-0.0465373531689537,-0.0467057079948367
1.01766666666667,-0.0468236582894674,-0.04675879941984,-0.0465644315090334,-0.0467328163321544
1.018,-0.0468510837946903,-0.0467864103036085,-0.0465915781752898,-0.046759993066283
1.01833333333333,-0.0468785785683197,-0.046814091044307,-0.0466187933219978,-0.0467872383515725
1.01866666666667,-0.0469061427676622,-0.0468418418016243,-0.0466460771039245,-0.0468145523428584
1.019,-0.0469337765505234,-0.046869662735769,-0.0466734296763321,-0.0468419351954721
1.01933333333333,-0.046961480075217,-0.0468975540074545,-0.0467008511949751,-0.0468693870652364
1.01966666666667,-0.0469892535005586,-0.046925515777912,-0.0467283418161059,-0.0468969081084734
1.02,-0.0470170969858754,-0.0469535482088913,-0.0467559016964732,-0.0469244984820038
1.02033333333333,-0.047045010690995,-0.0469816514626596,-0.0467835309933333,-0.0469521583431448
1.02066666666667,-0.0470729947762694,-0.0470098257020032,-0.046811229864435,-0.0469798878497145
1.021,-0.0471010494025517,-0.0470380710902326,-0.046838998468033,-0.047007687160038
1.02133333333333,-0.0471291747312163,-0.0470663877911809,-0.0468668369628956,-0.0470355564329453
1.02166666666667,-0.0471573709241489,-0.0470947759692087,-0.0468947455082892,-0.0470634958277656
1.022,-0.0471856381437624,-0.0471232357892033,-0.0469227242639901,-0.0470915055043475
1.02233333333333,-0.0472139765529759,-0.0471517674165839,-0.0469507733902915,-0.0471195856230421
1.02266666666667,-0.0472423863152502,-0.0471803710172997,-0.0469788930479942,-0.0471477363447206
1.023,-0.0472708675945477,-0.0472090467578318,-0.0470070833984138,-0.0471759578307585
1.02333333333333,-0.0472994205553709,-0.047237794805197,-0.0470353446033838,-0.0472042502430531
1.02366666666667,-0.0473280453627476,-0.0472666153269568,-0.0470636768252591,-0.0472326137440201
1.024,-0.0473567421822334,-0.0472955084912026,-0.0470920802269075,-0.0472610484965871
1.02433333333333,-0.0473855111799095,-0.0473244744665707,-0.0471205549717223,-0.0472895546642143
1.02466666666667,-0.0474143525224076,-0.0473535134222414,-0.0471491012236205,-0.0473181324108745
1.025,-0.047443266376874,-0.0473826255279384,-0.0471777191470435,-0.0473467819010741
1.02533333333333,-0.0474722529110073,-0.0474118109539355,-0.0472064089069652,-0.047375503299841
