"Freq [GHz]","dB(S(1,1)) []","dB(S(2,2)) []","dB(S(3,3)) []","dB(S(4,4)) []"
1,-0.0471756095612166,-0.0470779212588258,-0.0469057367007908,-0.0470740439204478
1.00033333333333,-0.0472027662695713,-0.0471050510907309,-0.0469328415645052,-0.0471011822784741
1.00066666666667,-0.0472299916328727,-0.0471322495194847,-0.0469600149983929,-0.0471283891542538
1.001,-0.0472572858005406,-0.0471595166945014,-0.0469872571520969,-0.0471556646969733
1.00133333333333,-0.0472846489224823,-0.0471868527656746,-0.0470145681757303,-0.0471830090562836
1.00166666666667,-0.0473120811490672,-0.0472142578833641,-0.0470419482198729,-0.04721042238231
1.002,-0.0473395826311492,-0.0472417321984073,-0.0470693974355929,-0.0472379048256556
1.00233333333333,-0.047367153520055,-0.0472692758621213,-0.0470969159744313,-0.0472654565373954
1.00266666666667,-0.0473947939675871,-0.0472968890263007,-0.0471245039884128,-0.0472930776690879
1.003,-0.0474225041260383,-0.0473245718432239,-0.0471521616300367,-0.0473207683727655
1.00333333333333,-0.0474502841481734,-0.0473523244656439,-0.0471798890522936,-0.047348528800941
1.00366666666667,-0.0474781341872475,-0.0473801470468072,-0.0472076864086588,-0.0473763591066169
1.004,-0.0475060543969994,-0.047408039740437,-0.0472355538530843,-0.0474042594432742
1.00433333333333,-0.0475340449316573,-0.0474360027007507,-0.0472634915400232,-0.0474322299648836
1.00466666666667,-0.0475621059459321,-0.0474640360824495,-0.0472914996244122,-0.0474602708259001
1.005,-0.0475902375950319,-0.0474921400407297,-0.0473195782616813,-0.0474883821812713
1.00533333333333,-0.0476184400346554,-0.0475203147312794,-0.0473477276077541,-0.0475165641864343
1.00566666666667,-0.0476467134209916,-0.0475485603102749,-0.0473759478190502,-0.0475448169973164
1.006,-0.0476750579107319,-0.0475768769343928,-0.0474042390524789,-0.0475731407703435
1.00633333333333,-0.04770347366106,-0.0476052647608081,-0.0474326014654632,-0.0476015356624417
1.00666666666667,-0.0477319608296599,-0.0476337239471901,-0.047461035215912,-0.0476300018310254
1.007,-0.0477605195747169,-0.0476622546517181,-0.0474895404622429,-0.0476585394340095
1.00733333333333,-0.0477891500549195,-0.047690857033063,-0.047518117363377,-0.0476871486298209
1.00766666666667,-0.0478178524294565,-0.0477195312504067,-0.0475467660787402,-0.0477158295773778
1.008,-0.0478466268580286,-0.0477482774634352,-0.0475754867682658,-0.0477445824361097
1.00833333333333,-0.047875473500842,-0.0477770958323409,-0.0476042795923931,-0.0477734073659502
1.00866666666667,-0.0479043925186106,-0.0478059865178288,-0.0476331447120784,-0.0478023045273437
1.009,-0.0479333840725617,-0.0478349496811144,-0.0476620822887899,-0.0478312740812393
1.00933333333333,-0.0479624483244346,-0.047863985483926,-0.047691092484502,-0.0478603161891056
1.00966666666667,-0.0479915854364843,-0.0478930940885041,-0.0477201754617149,-0.0478894310129166
1.01,-0.0480207955714822,-0.0479222756576059,-0.0477493313834418,-0.04791861871517
1.01033333333333,-0.0480500788927183,-0.0479515303545176,-0.0477785604132156,-0.0479478794588746
1.01066666666667,-0.0480794355640006,-0.0479808583430305,-0.0478078627150942,-0.0479772134075622
1.011,-0.0481088657496641,-0.0480102597874645,-0.0478372384536573,-0.0480066207252794
1.01133333333333,-0.0481383696145635,-0.0480397348526664,-0.0478666877940082,-0.0480361015766036
1.01166666666667,-0.0481679473240822,-0.0480692837040048,-0.0478962109017772,-0.0480656561266321
1.012,-0.0481975990441238,-0.0480989065073752,-0.0479258079431251,-0.048095284540986
1.01233333333333,-0.0482273249411341,-0.0481286034292105,-0.0479554790847436,-0.0481249869858191
1.01266666666667,-0.0482571251820798,-0.0481583746364607,-0.0479852244938585,-0.0481547636278158
1.013,-0.0482869999344664,-0.048188220296621,-0.048015044338224,-0.0481846146341847
1.01333333333333,-0.0483169493663232,-0.0482181405777167,-0.0480449387861402,-0.0482145401726794
1.01366666666667,-0.0483469736462354,-0.0482481356483084,-0.0480749080064341,-0.0482445404115814
1.014,-0.0483770729433105,-0.0482782056775031,-0.0481049521684839,-0.048274615519708
1.01433333333333,-0.048407247427207,-0.0483083508349368,-0.0481350714422017,-0.0483047656664227
1.01466666666667,-0.0484374972681174,-0.0483385712907966,-0.0481652659980485,-0.0483349910216247
