"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,3.24798564762354
1.57542,0,-170,1.59086097343491
1.57542,0,-160,7.33740406159815
1.57542,0,-150,30.0218511462014
1.57542,0,-140,15.610706225272
1.57542,0,-130,11.402864715442
1.57542,0,-120,9.3768477665945
1.57542,0,-110,8.00189696053086
1.57542,0,-100,6.93764364613008
1.57542,0,-90,6.01868858088056
1.57542,0,-80,5.13296199191126
1.57542,0,-70,4.23974423662587
1.57542,0,-60,3.37078193817884
1.57542,0,-50,2.6404234917449
1.57542,0,-40,2.26652015985706
1.57542,0,-30,2.39763888080034
1.57542,0,-20,2.8307367969307
1.57542,0,-10,3.24848919304137
1.57542,0,0,3.46187765373905
1.57542,0,10,3.41616861055915
1.57542,0,20,3.17110395782343
1.57542,0,30,2.88486571329989
1.57542,0,40,2.76909126015867
1.57542,0,50,2.96687091496602
1.57542,0,60,3.45097174457535
1.57542,0,70,4.1087926814192
1.57542,0,80,4.8533187617854
1.57542,0,90,5.64462407169424
1.57542,0,100,6.48530932098989
1.57542,0,110,7.41658088689681
1.57542,0,120,8.52449671221474
1.57542,0,130,10.0817359916107
1.57542,0,140,13.4179870218004
1.57542,0,150,52.9039811538975
1.57542,0,160,7.32082659777723
1.57542,0,170,2.20922529362725
1.57542,0,180,3.24798564762354
