"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,3.23497098323114
1.57542,0,-170,2.46134315004005
1.57542,0,-160,8.94650490431794
1.57542,0,-150,37.3214019788166
1.57542,0,-140,14.7947587500062
1.57542,0,-130,11.7080027552251
1.57542,0,-120,10.138410867417
1.57542,0,-110,8.97384361653677
1.57542,0,-100,7.97863969966743
1.57542,0,-90,7.04928544196245
1.57542,0,-80,6.1295453731141
1.57542,0,-70,5.22151903994815
1.57542,0,-60,4.37445209938525
1.57542,0,-50,3.67587456679683
1.57542,0,-40,3.2474092579827
1.57542,0,-30,3.17506424860402
1.57542,0,-20,3.38357030551713
1.57542,0,-10,3.66661943639192
1.57542,0,0,3.84069535432181
1.57542,0,10,3.8276235020952
1.57542,0,20,3.66970775350575
1.57542,0,30,3.51233615269464
1.57542,0,40,3.53843177016779
1.57542,0,50,3.85035959103263
1.57542,0,60,4.41315371962434
1.57542,0,70,5.13056742534637
1.57542,0,80,5.92580387056805
1.57542,0,90,6.76414997646332
1.57542,0,100,7.65445979615153
1.57542,0,110,8.64272356667801
1.57542,0,120,9.80958415252693
1.57542,0,130,11.4032378482638
1.57542,0,140,14.7004577121497
1.57542,0,150,65.2480175962056
1.57542,0,160,8.64300679405014
1.57542,0,170,3.24936873624221
1.57542,0,180,3.23497098323115
