"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,3.41739440076391
1.57542,0,-170,1.73944030049959
1.57542,0,-160,8.55251220626924
1.57542,0,-150,33.3384064193679
1.57542,0,-140,13.523197954817
1.57542,0,-130,10.355785241784
1.57542,0,-120,8.7939619218669
1.57542,0,-110,7.71298121702303
1.57542,0,-100,6.83543494400502
1.57542,0,-90,6.01984064546366
1.57542,0,-80,5.183144416156
1.57542,0,-70,4.31126489652733
1.57542,0,-60,3.44427923683181
1.57542,0,-50,2.67718261249905
1.57542,0,-40,2.19182535608621
1.57542,0,-30,2.17069017586037
1.57542,0,-20,2.50022535119874
1.57542,0,-10,2.87195765070817
1.57542,0,0,3.07723246054874
1.57542,0,10,3.0476554748416
1.57542,0,20,2.83409028480947
1.57542,0,30,2.59284688487077
1.57542,0,40,2.53989257598186
1.57542,0,50,2.80867721904158
1.57542,0,60,3.34734488626707
1.57542,0,70,4.03050382417455
1.57542,0,80,4.76737429812063
1.57542,0,90,5.51615445319762
1.57542,0,100,6.28618805427489
1.57542,0,110,7.14292897055067
1.57542,0,120,8.20693227271325
1.57542,0,130,9.77257605099196
1.57542,0,140,13.1500186632133
1.57542,0,150,65.2178139050727
1.57542,0,160,7.51298573087591
1.57542,0,170,2.84069126370305
1.57542,0,180,3.41739440076392
