"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,3.84713134460787
1.57542,0,-170,1.90807542982651
1.57542,0,-160,7.72477067973892
1.57542,0,-150,35.9066980718184
1.57542,0,-140,13.1684092542589
1.57542,0,-130,9.88368639032385
1.57542,0,-120,8.21022313048709
1.57542,0,-110,6.99731449311462
1.57542,0,-100,5.98403752774042
1.57542,0,-90,5.05524632152884
1.57542,0,-80,4.14793700337229
1.57542,0,-70,3.26467147382224
1.57542,0,-60,2.48322744839484
1.57542,0,-50,1.99582834607257
1.57542,0,-40,2.05216146942942
1.57542,0,-30,2.56888766222271
1.57542,0,-20,3.20675461036005
1.57542,0,-10,3.71412748483023
1.57542,0,0,3.95048765254637
1.57542,0,10,3.86998407279378
1.57542,0,20,3.52070864135483
1.57542,0,30,3.03661811313812
1.57542,0,40,2.6219958557546
1.57542,0,50,2.50105332788198
1.57542,0,60,2.76724197837679
1.57542,0,70,3.3173916385729
1.57542,0,80,4.01303191406894
1.57542,0,90,4.78081957518472
1.57542,0,100,5.61488781601104
1.57542,0,110,6.56223744223064
1.57542,0,120,7.71671257711104
1.57542,0,130,9.34712955804771
1.57542,0,140,12.7217472913446
1.57542,0,150,45.3634234529994
1.57542,0,160,7.23175946717096
1.57542,0,170,2.66992501939033
1.57542,0,180,3.84713134460787
