"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,5.91726657775678
1.57542,0,-170,3.33949070640812
1.57542,0,-160,5.07184767797177
1.57542,0,-150,21.8872396082975
1.57542,0,-140,15.8513293821568
1.57542,0,-130,10.7797805911176
1.57542,0,-120,8.51893823364002
1.57542,0,-110,7.03719740578668
1.57542,0,-100,5.90878569332362
1.57542,0,-90,4.96103225182283
1.57542,0,-80,4.09817310914047
1.57542,0,-70,3.30793765389214
1.57542,0,-60,2.67880751674278
1.57542,0,-50,2.40916476301833
1.57542,0,-40,2.65205941911823
1.57542,0,-30,3.2597387881174
1.57542,0,-20,3.94405685794895
1.57542,0,-10,4.47726719537037
1.57542,0,0,4.71919155856563
1.57542,0,10,4.62431326147809
1.57542,0,20,4.24604817149674
1.57542,0,30,3.72151154731243
1.57542,0,40,3.23863773706652
1.57542,0,50,2.98353415317836
1.57542,0,60,3.05264058515235
1.57542,0,70,3.40310402783705
1.57542,0,80,3.93358491300888
1.57542,0,90,4.57759828460217
1.57542,0,100,5.33101792410867
1.57542,0,110,6.24972609236796
1.57542,0,120,7.46085205295727
1.57542,0,130,9.34804655388398
1.57542,0,140,13.7376892068038
1.57542,0,150,24.0066302133872
1.57542,0,160,5.56341514486806
1.57542,0,170,4.45807259937985
1.57542,0,180,5.91726657775679
