"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,4.47550642223789
1.57542,0,-170,2.825757159239
1.57542,0,-160,7.47431168582318
1.57542,0,-150,36.4374688492897
1.57542,0,-140,15.1420704965898
1.57542,0,-130,11.5213662962434
1.57542,0,-120,9.74988337147614
1.57542,0,-110,8.46350780564684
1.57542,0,-100,7.37338984283538
1.57542,0,-90,6.37115236802659
1.57542,0,-80,5.40447187700385
1.57542,0,-70,4.4769577063073
1.57542,0,-60,3.64945889063663
1.57542,0,-50,3.04763254502559
1.57542,0,-40,2.83677015376897
1.57542,0,-30,3.05314618126032
1.57542,0,-20,3.49757411350609
1.57542,0,-10,3.91345027743176
1.57542,0,0,4.12679637901479
1.57542,0,10,4.07298826510744
1.57542,0,20,3.79768512473845
1.57542,0,30,3.4456140353996
1.57542,0,40,3.2248659965901
1.57542,0,50,3.31220394664065
1.57542,0,60,3.73290233585288
1.57542,0,70,4.38571446776793
1.57542,0,80,5.16547256145722
1.57542,0,90,6.01874408082419
1.57542,0,100,6.94965889154398
1.57542,0,110,8.01515518410128
1.57542,0,120,9.33599055372997
1.57542,0,130,11.2822360632782
1.57542,0,140,15.697099316085
1.57542,0,150,24.8106577394441
1.57542,0,160,6.61530677915843
1.57542,0,170,3.43276650441602
1.57542,0,180,4.47550642223789
