"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,4.13435993300468
1.57542,0,-170,2.7257756698568
1.57542,0,-160,8.14091111500926
1.57542,0,-150,45.6135966732249
1.57542,0,-140,14.7761907737117
1.57542,0,-130,11.2820686627907
1.57542,0,-120,9.60016882285227
1.57542,0,-110,8.41912056532123
1.57542,0,-100,7.43955734117883
1.57542,0,-90,6.52758501495759
1.57542,0,-80,5.61302341910786
1.57542,0,-70,4.69162318844092
1.57542,0,-60,3.81119809289261
1.57542,0,-50,3.07283132658837
1.57542,0,-40,2.6458768786663
1.57542,0,-30,2.66311329648145
1.57542,0,-20,3.00154269751336
1.57542,0,-10,3.38259798011586
1.57542,0,0,3.6029980170805
1.57542,0,10,3.59171472173638
1.57542,0,20,3.40287837684928
1.57542,0,30,3.19442301677718
1.57542,0,40,3.16529999414583
1.57542,0,50,3.42956453272922
1.57542,0,60,3.94733987066546
1.57542,0,70,4.6118401730929
1.57542,0,80,5.34046567812797
1.57542,0,90,6.09631167446087
1.57542,0,100,6.88980296959556
1.57542,0,110,7.7758699594863
1.57542,0,120,8.85361856050294
1.57542,0,130,10.3987244545037
1.57542,0,140,13.7352605432912
1.57542,0,150,50.3267383537553
1.57542,0,160,7.94221209587977
1.57542,0,170,3.77106698067093
1.57542,0,180,4.13435993300468
