"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,3.04620713974513
1.57542,0,-170,1.70023508444969
1.57542,0,-160,8.88615687095715
1.57542,0,-150,31.0618878974735
1.57542,0,-140,14.005263165758
1.57542,0,-130,11.259757982307
1.57542,0,-120,9.93403522488915
1.57542,0,-110,8.96190921856515
1.57542,0,-100,8.09005812569954
1.57542,0,-90,7.20518363481722
1.57542,0,-80,6.26349479054313
1.57542,0,-70,5.28534242265315
1.57542,0,-60,4.32542477103506
1.57542,0,-50,3.4622958634217
1.57542,0,-40,2.81859393295235
1.57542,0,-30,2.54023742305536
1.57542,0,-20,2.62982049971189
1.57542,0,-10,2.87268567477764
1.57542,0,0,3.04699023182789
1.57542,0,10,3.06133779142543
1.57542,0,20,2.96357970121851
1.57542,0,30,2.91087749010545
1.57542,0,40,3.08225086749473
1.57542,0,50,3.54353346314265
1.57542,0,60,4.2269834281761
1.57542,0,70,5.03130350377954
1.57542,0,80,5.88079175579896
1.57542,0,90,6.73690110901424
1.57542,0,100,7.61250242755143
1.57542,0,110,8.58477591043979
1.57542,0,120,9.79762482950177
1.57542,0,130,11.6160432999852
1.57542,0,140,15.8179590017781
1.57542,0,150,25.6618996789455
1.57542,0,160,6.81895710202446
1.57542,0,170,2.67278448113118
1.57542,0,180,3.04620713974513
