"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,5.99240074148561
1.57542,0,-170,3.69087065935539
1.57542,0,-160,5.37859357685155
1.57542,0,-150,20.1405623316058
1.57542,0,-140,18.3028806257961
1.57542,0,-130,12.5302769139037
1.57542,0,-120,10.039288888283
1.57542,0,-110,8.38669821157275
1.57542,0,-100,7.10451139866069
1.57542,0,-90,6.02617986232489
1.57542,0,-80,5.08035547784545
1.57542,0,-70,4.27781573966531
1.57542,0,-60,3.70081232352265
1.57542,0,-50,3.46811658943626
1.57542,0,-40,3.63820612533023
1.57542,0,-30,4.1148596495541
1.57542,0,-20,4.69819538971694
1.57542,0,-10,5.18681650631021
1.57542,0,0,5.43444576621389
1.57542,0,10,5.38415122897662
1.57542,0,20,5.0827321103702
1.57542,0,30,4.66170297385375
1.57542,0,40,4.28968686765932
1.57542,0,50,4.11252971487051
1.57542,0,60,4.20150232900653
1.57542,0,70,4.54427973889065
1.57542,0,80,5.08714284916569
1.57542,0,90,5.78460095688431
1.57542,0,100,6.62975153985112
1.57542,0,110,7.66796793007522
1.57542,0,120,9.02431410035988
1.57542,0,130,11.1202119084965
1.57542,0,140,16.1484091550214
1.57542,0,150,20.6015023245156
1.57542,0,160,5.11225171581063
1.57542,0,170,4.29699428551473
1.57542,0,180,5.99240074148561
